,prompt,hedging_word,response,extracted_confidence
0,Amanda believes it is almost certain that there will be vegetarian options at the barbecue.,almost certain,Probability: 90%,90.0
1,Bonnie believes it is almost certain that they will visit New York over winter break.,almost certain,Probability: 90%,90.0
2,Bonnie believes it is almost certain that their classmate owns a guitar.,almost certain,Probability: 90%,90.0
3,Amanda believes it is almost certain that their classmate owns a guitar.,almost certain,Probability: 90%,90.0
4,Camille believes it is almost certain that they will buy a new watch this Thanksgiving weekend.,almost certain,Probability: 90%,90.0
5,Amanda believes it is almost certain that the company will have another round of layoffs by mid-July.,almost certain,Probability: 90%,90.0
6,Camille believes it is almost certain that there will be vegetarian options at the barbecue.,almost certain,Probability: 90%,90.0
7,Camille believes it is almost certain that their boss owns a blue car.,almost certain,Probability: 90%,90.0
8,Amanda believes it is almost certain that they will be offered a promotion this fall.,almost certain,Probability: 90%,90.0
9,Amanda believes it is almost certain that the new museum is offering complimentary admission.,almost certain,Probability: 90%,90.0
10,Amanda believes it is almost certain that the restaurant near their apartment accepts reservations.,almost certain,Probability: 90%,90.0
11,Amanda believes it is almost certain that their cousin has a vegetable garden.,almost certain,Probability: 90%,90.0
12,Bonnie believes it is almost certain that their neighbor prefers the beach over the mountains.,almost certain,Probability: 90%,90.0
13,Catherine believes it is almost certain that they will visit New York over winter break.,almost certain,Probability: 95%,95.0
14,Catherine believes it is almost certain that there are more than eighty students in the auditorium right now.,almost certain,Probability: 95%,95.0
15,Bonnie believes it is almost certain that their boss prefers coffee over tea.,almost certain,Probability: 95%,95.0
16,Catherine believes it is almost certain that the new museum is offering complimentary admission.,almost certain,Probability: 90%,90.0
17,Camille believes it is almost certain that the temperature in the office is at least 72 degrees Fahrenheit.,almost certain,Probability: 95%,95.0
18,Camille believes it is almost certain that their friend has a leather jacket.,almost certain,Probability: 90%,90.0
19,Bonnie believes it is almost certain that there is a yoga studio within 2 miles of their workplace.,almost certain,Probability: 95%,95.0
20,Catherine believes it is almost certain that the temperature in the office is at least 72 degrees Fahrenheit.,almost certain,Probability: 95%,95.0
21,Camille believes it is almost certain that their cousin prefers spinach over broccoli.,almost certain,Probability: 95%,95.0
22,Amanda believes it is almost certain that there are more than eighty students in the auditorium right now.,almost certain,Probability: 90%,90.0
23,Camille believes it is almost certain that their boss prefers coffee over tea.,almost certain,Probability: 90%,90.0
24,Amanda believes it is almost certain that their boss owns a blue car.,almost certain,Probability: 90%,90.0
25,Camille believes it is almost certain that they will be offered a promotion this fall.,almost certain,Probability: 90%,90.0
26,Bonnie believes it is almost certain that their coworker prefers reading books over watching movies.,almost certain,Probability: 90%,90.0
27,Amanda believes it is almost certain that they will buy a new watch this Thanksgiving weekend.,almost certain,Probability: 90%,90.0
28,Catherine believes it is almost certain that the restaurant near their apartment accepts reservations.,almost certain,Probability: 90%,90.0
29,Amanda believes it is almost certain that their boss has a stereo amplifier.,almost certain,Probability: 90%,90.0
30,Camille believes it is almost certain that their friend prefers running over cycling.,almost certain,Probability: 90%,90.0
31,Amanda believes it is almost certain that their cousin prefers spinach over broccoli.,almost certain,Probability: 90%,90.0
32,Amanda believes it is almost certain that they will visit New York over winter break.,almost certain,Probability: 90%,90.0
33,Camille believes it is almost certain that they will visit New York over winter break.,almost certain,Probability: 90%,90.0
34,Amanda believes it is almost certain that their boss prefers coffee over tea.,almost certain,Probability: 90%,90.0
35,Bonnie believes it is almost certain that there will be vegetarian options at the barbecue.,almost certain,Probability: 90%,90.0
36,Camille believes it is almost certain that their boss has a stereo amplifier.,almost certain,Probability: 90%,90.0
37,Bonnie believes it is almost certain that their boss owns a blue car.,almost certain,Probability: 90%,90.0
38,Camille believes it is almost certain that the new museum is offering complimentary admission.,almost certain,Probability: 90%,90.0
39,Camille believes it is almost certain that there are more than eighty students in the auditorium right now.,almost certain,Probability: 90%,90.0
40,Amanda believes it is almost certain that their neighbor prefers the beach over the mountains.,almost certain,Probability: 90%,90.0
