,prompt,hedging_word,response,extracted_confidence
0,Amanda believes the chances are slight that they will buy a new watch this Thanksgiving weekend.,Chances are Slight,Probability: 20%,20.0
1,Amanda believes the chances are slight that the company will have another round of layoffs by mid-July.,Chances are Slight,Probability: 20%,20.0
2,Amanda believes the chances are slight that there will be vegetarian options at the barbecue.,Chances are Slight,Probability: 80%,80.0
3,Bonnie believes the chances are slight that the restaurant near their apartment accepts reservations.,Chances are Slight,Probability: 20%,20.0
4,Amanda believes the chances are slight that they will visit New York over winter break.,Chances are Slight,Probability: 20%,20.0
5,Bonnie believes the chances are slight that their classmate owns a guitar.,Chances are Slight,Probability: 20%,20.0
6,Bonnie believes the chances are slight that the new museum is offering complimentary admission.,Chances are Slight,Probability: 20%,20.0
7,Bonnie believes the chances are slight that their boss has a stereo amplifier.,Chances are Slight,Probability: 20%,20.0
8,Bonnie believes the chances are slight that their cousin prefers spinach over broccoli.,Chances are Slight,Probability: 20%,20.0
9,Camille believes the chances are slight that their classmate owns a guitar.,Chances are Slight,Probability: 20%,20.0
10,Camille believes the chances are slight that their boss has a stereo amplifier.,Chances are Slight,Probability: 20%,20.0
11,Catherine believes the chances are slight that the company will have another round of layoffs by mid-July.,Chances are Slight,Probability: 20%,20.0
12,Catherine believes the chances are slight that there will be vegetarian options at the barbecue.,Chances are Slight,Probability: 80%,80.0
13,Catherine believes the chances are slight that they will visit New York over winter break.,Chances are Slight,Probability: 25%,25.0
14,Catherine believes the chances are slight that they will buy a new watch this Thanksgiving weekend.,Chances are Slight,Probability: 20%,20.0
15,Catherine believes the chances are slight that their cousin prefers spinach over broccoli.,Chances are Slight,Probability: 20%,20.0
16,Catherine believes the chances are slight that they will be offered a promotion this fall.,Chances are Slight,Probability: 80%,80.0
17,Catherine believes the chances are slight that their friend has a leather jacket.,Chances are Slight,Probability: 20%,20.0
18,Catherine believes the chances are slight that the restaurant near their apartment accepts reservations.,Chances are Slight,Probability: 20%,20.0
19,Bonnie believes the chances are slight that their friend prefers running over cycling.,Chances are Slight,Probability: 20%,20.0
20,Bonnie believes the chances are slight that their boss prefers coffee over tea.,Chances are Slight,Probability: 20%,20.0
21,Bonnie believes the chances are slight that their cousin has a vegetable garden.,Chances are Slight,Probability: 20%,20.0
22,Bonnie believes the chances are slight that their neighbor prefers the beach over the mountains.,Chances are Slight,Probability: 20%,20.0
23,Bonnie believes the chances are slight that their coworker prefers reading books over watching movies.,Chances are Slight,Probability: 30%,30.0
24,Amanda believes the chances are slight that their cousin has a vegetable garden.,Chances are Slight,Probability: 30%,30.0
25,Catherine believes the chances are slight that their cousin has a vegetable garden.,Chances are Slight,Probability: 20%,20.0
26,Cheri believes the chances are slight that they will buy a new watch this Thanksgiving weekend.,Chances are Slight,Probability: 80%,80.0
27,Amanda believes the chances are slight that their boss prefers coffee over tea.,Chances are Slight,Probability: 20%,20.0
28,Catherine believes the chances are slight that their boss has a stereo amplifier.,Chances are Slight,Probability: 20%,20.0
29,Catherine believes the chances are slight that their classmate owns a guitar.,Chances are Slight,Probability: 20%,20.0
30,Amanda believes the chances are slight that their cousin prefers spinach over broccoli.,Chances are Slight,Probability: 20%,20.0
31,Camille believes the chances are slight that their boss owns a blue car.,Chances are Slight,Probability: 20%,20.0
32,Bonnie believes the chances are slight that their friend has a leather jacket.,Chances are Slight,Probability: 20%,20.0
33,Amanda believes the chances are slight that their boss owns a blue car.,Chances are Slight,Probability: 20%,20.0
34,Amanda believes the chances are slight that there is a yoga studio within 2 miles of their workplace.,Chances are Slight,Probability: 25%,25.0
35,Cheri believes the chances are slight that there will be vegetarian options at the barbecue.,Chances are Slight,Probability: 20%,20.0
36,Bonnie believes the chances are slight that there is a yoga studio within 2 miles of their workplace.,Chances are Slight,Probability: 20%,20.0
37,Bonnie believes the chances are slight that they will buy a new watch this Thanksgiving weekend.,Chances are Slight,Probability: 20%,20.0
38,Camille believes the chances are slight that their boss prefers coffee over tea.,Chances are Slight,Probability: 20%,20.0
39,Cheri believes the chances are slight that they will be offered a promotion this fall.,Chances are Slight,Probability: 80%,80.0
40,Catherine believes the chances are slight that their friend prefers running over cycling.,Chances are Slight,Probability: 20%,20.0
41,Bonnie believes the chances are slight that there are more than eighty students in the auditorium right now.,Chances are Slight,Probability: 20%,20.0
42,Bonnie believes the chances are slight that the company will have another round of layoffs by mid-July.,Chances are Slight,Probability: 20%,20.0
43,Catherine believes the chances are slight that their boss owns a blue car.,Chances are Slight,Probability: 20%,20.0
44,Camille believes the chances are slight that the company will have another round of layoffs by mid-July.,Chances are Slight,Probability: 20%,20.0
