,biology_accuracy,biology_ece_verbal_numerical_confidence,biology_ece_verbal_linguistic_confidence,biology_ece_logit_perplexity_confidence,biology_auroc_verbal_numerical_confidence,biology_auroc_verbal_linguistic_confidence,biology_auroc_logit_perplexity_confidence,biology_sample_size,business_accuracy,business_ece_verbal_numerical_confidence,business_ece_verbal_linguistic_confidence,business_ece_logit_perplexity_confidence,business_auroc_verbal_numerical_confidence,business_auroc_verbal_linguistic_confidence,business_auroc_logit_perplexity_confidence,business_sample_size,chemistry_accuracy,chemistry_ece_verbal_numerical_confidence,chemistry_ece_verbal_linguistic_confidence,chemistry_ece_logit_perplexity_confidence,chemistry_auroc_verbal_numerical_confidence,chemistry_auroc_verbal_linguistic_confidence,chemistry_auroc_logit_perplexity_confidence,chemistry_sample_size,computer science_accuracy,computer science_ece_verbal_numerical_confidence,computer science_ece_verbal_linguistic_confidence,computer science_ece_logit_perplexity_confidence,computer science_auroc_verbal_numerical_confidence,computer science_auroc_verbal_linguistic_confidence,computer science_auroc_logit_perplexity_confidence,computer science_sample_size,economics_accuracy,economics_ece_verbal_numerical_confidence,economics_ece_verbal_linguistic_confidence,economics_ece_logit_perplexity_confidence,economics_auroc_verbal_numerical_confidence,economics_auroc_verbal_linguistic_confidence,economics_auroc_logit_perplexity_confidence,economics_sample_size,engineering_accuracy,engineering_ece_verbal_numerical_confidence,engineering_ece_verbal_linguistic_confidence,engineering_ece_logit_perplexity_confidence,engineering_auroc_verbal_numerical_confidence,engineering_auroc_verbal_linguistic_confidence,engineering_auroc_logit_perplexity_confidence,engineering_sample_size,health_accuracy,health_ece_verbal_numerical_confidence,health_ece_verbal_linguistic_confidence,health_ece_logit_perplexity_confidence,health_auroc_verbal_numerical_confidence,health_auroc_verbal_linguistic_confidence,health_auroc_logit_perplexity_confidence,health_sample_size,history_accuracy,history_ece_verbal_numerical_confidence,history_ece_verbal_linguistic_confidence,history_ece_logit_perplexity_confidence,history_auroc_verbal_numerical_confidence,history_auroc_verbal_linguistic_confidence,history_auroc_logit_perplexity_confidence,history_sample_size,law_accuracy,law_ece_verbal_numerical_confidence,law_ece_verbal_linguistic_confidence,law_ece_logit_perplexity_confidence,law_auroc_verbal_numerical_confidence,law_auroc_verbal_linguistic_confidence,law_auroc_logit_perplexity_confidence,law_sample_size,math_accuracy,math_ece_verbal_numerical_confidence,math_ece_verbal_linguistic_confidence,math_ece_logit_perplexity_confidence,math_auroc_verbal_numerical_confidence,math_auroc_verbal_linguistic_confidence,math_auroc_logit_perplexity_confidence,math_sample_size,other_accuracy,other_ece_verbal_numerical_confidence,other_ece_verbal_linguistic_confidence,other_ece_logit_perplexity_confidence,other_auroc_verbal_numerical_confidence,other_auroc_verbal_linguistic_confidence,other_auroc_logit_perplexity_confidence,other_sample_size,philosophy_accuracy,philosophy_ece_verbal_numerical_confidence,philosophy_ece_verbal_linguistic_confidence,philosophy_ece_logit_perplexity_confidence,philosophy_auroc_verbal_numerical_confidence,philosophy_auroc_verbal_linguistic_confidence,philosophy_auroc_logit_perplexity_confidence,philosophy_sample_size,physics_accuracy,physics_ece_verbal_numerical_confidence,physics_ece_verbal_linguistic_confidence,physics_ece_logit_perplexity_confidence,physics_auroc_verbal_numerical_confidence,physics_auroc_verbal_linguistic_confidence,physics_auroc_logit_perplexity_confidence,physics_sample_size,psychology_accuracy,psychology_ece_verbal_numerical_confidence,psychology_ece_verbal_linguistic_confidence,psychology_ece_logit_perplexity_confidence,psychology_auroc_verbal_numerical_confidence,psychology_auroc_verbal_linguistic_confidence,psychology_auroc_logit_perplexity_confidence,psychology_sample_size
Claude-3-5-haiku-20241022,0.7952314165497896,0.125105082988739,0.10015425831079483,,0.6037785992123892,0.6856140223720132,,713.0,0.6624365482233503,0.2621192932128906,0.23107020556926727,,0.7638672831504048,0.803009679370841,,788.0,0.5585106382978723,0.3507978320121765,0.3303244113922119,,0.6807611397972844,0.7399853381781092,,1128.0,0.6568627450980392,0.26188719272613525,0.21801474690437317,,0.6813432835820894,0.7420175906183368,,408.0,0.6995249406175772,0.20570066571235657,0.18382811546325684,,0.6226672124656918,0.6773522484011892,,842.0,0.40644490644490644,0.4534304141998291,0.429546058177948,,0.6673288214242523,0.7091139966227867,,962.0,0.6801968019680197,0.21500615775585175,0.19384172558784485,,0.6335408262623453,0.678421894561135,,813.0,0.5842105263157895,0.2849999666213989,0.26309216022491455,,0.5666837723799748,0.5903894400729842,,380.0,0.44494995450409464,0.417652428150177,0.41478243470191956,,0.5782879077407892,0.6004190552817729,,1099.0,0.6160714285714286,0.3182588517665863,0.26403456926345825,,0.7354651162790697,0.8125690465490769,,1344.0,0.6409978308026031,0.24763554334640503,0.22694692015647888,,0.6610793319735612,0.6995670199007265,,922.0,0.5423387096774194,0.3364918828010559,0.3210180997848511,,0.6296775461408708,0.6755645808427362,,496.0,0.5579598145285936,0.35642966628074646,0.3228863477706909,,0.6882155240881003,0.7303140073223174,,1294.0,0.7293233082706767,0.16622807085514069,0.15986841917037964,,0.6407582410589282,0.6674780450553647,,798.0
Claude-3-7-sonnet-20250219,0.8966480446927374,0.035432834178209305,0.03605438768863678,,0.7126062978866717,0.7071440599477983,,716.0,0.8286802030456852,0.09093906730413437,0.08635790646076202,,0.8210538256480062,0.8103057115308264,,788.0,0.7913351016799293,0.11986728012561798,0.11956670880317688,,0.7661016949152543,0.7622952371934476,,1131.0,0.823960880195599,0.10782382637262344,0.11283618211746216,,0.6785773161885921,0.6829665347840421,,409.0,0.8353080568720379,0.08490515500307083,0.0869193747639656,,0.6239042808306546,0.6308587172814939,,844.0,0.6099071207430341,0.2286480963230133,0.23027518391609192,,0.7883351686228167,0.7559669289787732,,969.0,0.7882496940024479,0.11720927059650421,0.11840265244245529,,0.7032860015079165,0.6897730944602019,,817.0,0.741424802110818,0.12585753202438354,0.12486808001995087,,0.6020408163265306,0.5989723291451812,,379.0,0.6457765667574932,0.20508629083633423,0.2058129757642746,,0.630927909408922,0.6161257167586282,,1101.0,0.8361876396128072,0.1096871942281723,0.10021594166755676,,0.8245689306241398,0.8214968023961791,,1343.0,0.8073593073593074,0.07349565625190735,0.07335492968559265,,0.762791065457722,0.7600423231014851,,924.0,0.7695390781563126,0.122805655002594,0.12060120701789856,,0.6631793478260871,0.6637341485507247,,499.0,0.7919876733436055,0.12411396205425262,0.12294290214776993,,0.7454928664072632,0.7469790315607436,,1298.0,0.821831869510665,0.0899873897433281,0.08973643183708191,,0.6916299322653479,0.7019083969465649,,797.0
Claude-3-haiku-20240307,0.7252440725244073,0.19560664892196655,0.14372384548187256,,0.5286704412338931,0.666165560327997,,717.0,0.37182741116751267,0.562563419342041,0.4436030387878418,,0.5681180404729892,0.6857586099906919,,788.0,0.29089301503094606,0.6416887044906616,0.5116702914237976,,0.5568354948495023,0.6617839898733409,,1131.0,0.4097560975609756,0.5299999713897705,0.376412570476532,,0.5819067296340024,0.755694116489571,,410.0,0.5746445497630331,0.3425354063510895,0.24832144379615784,,0.5204979467593257,0.674861442150303,,844.0,0.32507739938080493,0.5979359745979309,0.5259630680084229,,0.5422455220620358,0.608460754332314,,969.0,0.5733496332518337,0.3322126269340515,0.2847188413143158,,0.5808371160977756,0.6549813356467764,,818.0,0.4671916010498688,0.4165353775024414,0.351509153842926,,0.5263048652238888,0.5965019095588642,,381.0,0.30517711171662126,0.5806084871292114,0.5579473376274109,,0.5205162620603797,0.5464071739807034,,1101.0,0.2997779422649889,0.6465728282928467,0.4224894642829895,,0.5765288544358311,0.7506655704330123,,1351.0,0.48537378114842905,0.41782230138778687,0.339445561170578,,0.5649506578947369,0.6626527255639098,,923.0,0.4538152610441767,0.44809234142303467,0.38524100184440613,,0.5870152264445602,0.6446105543987507,,498.0,0.29869130100076985,0.631331741809845,0.4879682660102844,,0.5742952685957428,0.7030056469043875,,1299.0,0.6340852130325815,0.27192971110343933,0.24150988459587097,,0.5330350858194814,0.6107734582272999,,798.0
Deepseek-chat,0.891213389121339,0.029358522966504097,0.07364015281200409,0.10878658294677734,0.7277898158179849,0.7121804903495044,0.49765258215962443,717.0,0.8210659898477157,0.09035533666610718,0.13204309344291687,0.1789337396621704,0.8528944281846383,0.8064662873929866,0.4992272024729521,788.0,0.8053097345132744,0.08570787310600281,0.1549999713897705,0.1946902871131897,0.7850449550449551,0.7179395604395604,0.49945054945054945,1130.0,0.7829268292682927,0.13353653252124786,0.17865857481956482,0.21707314252853394,0.7579369246385942,0.6546606461549231,0.5,410.0,0.8505338078291815,0.05397379770874977,0.11844606697559357,0.14946460723876953,0.6660357308892872,0.6183170618317062,0.49860529986053,843.0,0.6904024767801857,0.15768834948539734,0.22326108813285828,0.30959755182266235,0.7607922272047833,0.7102815146985549,0.49850523168908817,969.0,0.7772337821297429,0.11756422370672226,0.172643780708313,0.2227662205696106,0.6871160335727265,0.6929177122090509,0.5011811023622048,817.0,0.6754617414248021,0.19366754591464996,0.2463061511516571,0.32453715801239014,0.5907806148373984,0.5937182418699186,0.5021277947154472,379.0,0.5676657584014533,0.29909178614616394,0.36450183391571045,0.4323321580886841,0.5876403361344538,0.5969025210084034,0.4986453781512605,1101.0,0.8822222222222222,0.06318515539169312,0.08896295726299286,0.11777657270431519,0.83396965712445,0.7325486220025454,0.4979009235936188,1350.0,0.7813852813852814,0.11212116479873657,0.16060608625411987,0.2186146378517151,0.7209826938372508,0.7084898933106606,0.4979224376731302,924.0,0.7474949899799599,0.14238481223583221,0.18967938423156738,0.25250446796417236,0.6728690582577982,0.6260691944338057,0.49865951742627346,499.0,0.8204930662557781,0.07449907809495926,0.13882900774478912,0.17950284481048584,0.77369078562937,0.7416651554534646,0.4990610328638498,1298.0,0.8157894736842105,0.0783207044005394,0.13126564025878906,0.18421053886413574,0.6814476942850873,0.6694567227812784,0.49846390168970817,798.0
Deepseek-reasoner,0.9065550906555091,0.01683405041694641,0.03612266480922699,,0.7424339839265212,0.7141216991963261,,717.0,0.8935361216730038,0.029974663630127907,0.06628642231225967,,0.8331560283687943,0.821563660925363,,789.0,0.8939929328621908,0.016060059890151024,0.05971726030111313,,0.8070899209486166,0.776161067193676,,1132.0,0.8634146341463415,0.07951226085424423,0.09731706976890564,,0.7451069410815173,0.6936037126715093,,410.0,0.8708530805687204,0.04614921659231186,0.08595971763134003,,0.7050926792735444,0.6705735505211259,,844.0,0.8214654282765738,0.039700739085674286,0.0978672057390213,,0.8268183402561943,0.7669961077061608,,969.0,0.8068459657701712,0.07420538365840912,0.1216992437839508,,0.740530303030303,0.7035864978902954,,818.0,0.7296587926509186,0.1406823843717575,0.16929128766059875,,0.586715093944262,0.5727980722218342,,381.0,0.6802906448683016,0.1728428453207016,0.23396898806095123,,0.6246700145648744,0.5979260225755553,,1101.0,0.9459659511472983,0.02006666362285614,0.0273008793592453,,0.8181715865972089,0.7645936501811478,,1351.0,0.8127705627705628,0.0663311630487442,0.1070345789194107,,0.7473734442708375,0.7133648391739723,,924.0,0.7735470941883767,0.11503003537654877,0.1551102101802826,,0.7224196432665414,0.6942317391902425,,499.0,0.8922247882986913,0.020877530798316002,0.05985891819000244,,0.7710711204240108,0.7415567607543448,,1299.0,0.8320802005012531,0.06328316777944565,0.09736842662096024,,0.7096464215069234,0.6162841665168136,,798.0
Gemini-1.5-flash,0.8354253835425384,0.12516029179096222,0.10521601140499115,0.08550959080457687,0.66589796553578,0.6800529130471691,0.6578195297246824,717.0,0.6979695431472082,0.22421328723430634,0.18067261576652527,0.2495543658733368,0.7842704354469061,0.8193582887700535,0.7690679908326967,788.0,0.6634275618374559,0.2411571741104126,0.21827444434165955,0.2831111550331116,0.6981068112158418,0.7477641360076328,0.7220503895069041,1132.0,0.6699266503667481,0.2840830087661743,0.2370985746383667,0.2519179880619049,0.6672073533387402,0.7306974858069747,0.6795350094620167,409.0,0.7505938242280285,0.20813539624214172,0.1822841316461563,0.1744440793991089,0.6207768233875829,0.6778631705846895,0.6214813140446052,842.0,0.5383022774327122,0.24553826451301575,0.19565214216709137,0.3673790693283081,0.6766190927906175,0.6865535529492929,0.6603656433252845,966.0,0.6417177914110429,0.29515334963798523,0.26161545515060425,0.26636964082717896,0.6060203253097253,0.6661842897928181,0.646101259854894,815.0,0.5433070866141733,0.38123345375061035,0.3441928029060364,0.3490608334541321,0.5545005275140208,0.5757676717196957,0.6277972125048586,381.0,0.40400363967242947,0.5342128276824951,0.4855170249938965,0.48908501863479614,0.5358262842995667,0.5756550443573344,0.5734681246131627,1099.0,0.7557535263548627,0.19645144045352936,0.15820837020874023,0.20070476830005646,0.7270648091197353,0.7950970673768817,0.756199951033375,1347.0,0.6334056399132321,0.2773210406303406,0.23707327246665955,0.2816805839538574,0.6908866620734376,0.72872760800843,0.6590388668233769,922.0,0.5410821643286573,0.39869728684425354,0.3676351308822632,0.36649855971336365,0.6239527737344331,0.6528222545689795,0.6126152353226588,499.0,0.6615146831530139,0.2676352262496948,0.23620936274528503,0.28411784768104553,0.6750669461870014,0.7108498164981011,0.6913727435667648,1294.0,0.7180451127819549,0.23107776045799255,0.21265652775764465,0.19063808023929596,0.6192165987977506,0.6476051968198565,0.6065774675198758,798.0
Gemini-1.5-flash-8b,0.7517433751743375,0.18549512326717377,0.15599706768989563,0.10792776942253113,0.5913364324279251,0.66462029142607,0.5897208730274541,717.0,0.5943877551020408,0.32034432888031006,0.23267965018749237,0.31788820028305054,0.6111189839933058,0.7718607444597403,0.7186141927821417,784.0,0.5138269402319358,0.36953601241111755,0.28112173080444336,0.3873225450515747,0.6392727446483181,0.7634094673802243,0.7112863149847094,1121.0,0.5308641975308642,0.39755547046661377,0.3055143356323242,0.33365941047668457,0.6141738066095471,0.720954712362301,0.6275887392900856,405.0,0.6362559241706162,0.2973933517932892,0.2257108986377716,0.23271849751472473,0.5580162441844243,0.678968087881159,0.5734415470189678,844.0,0.43661971830985913,0.32946908473968506,0.21645447611808777,0.41262468695640564,0.6265818858560794,0.6774813895781637,0.6146067951899217,923.0,0.5693251533742332,0.34110426902770996,0.290403813123703,0.27606305480003357,0.6016768592199626,0.679247715885647,0.6624300029472443,815.0,0.5,0.40093082189559937,0.3421984910964966,0.3197295665740967,0.576250565866908,0.5981354685377999,0.5819941149841558,376.0,0.3390909090909091,0.5840908288955688,0.5143717527389526,0.478889524936676,0.49798097879197994,0.5954213393025065,0.5596948051229668,1100.0,0.610105580693816,0.30848410725593567,0.21097595989704132,0.305156946182251,0.6633317633107234,0.7926733340824812,0.7315380881906406,1326.0,0.50271444082519,0.37008681893348694,0.29157617688179016,0.3602736294269562,0.6099484093674252,0.6996189649806182,0.6060626066945212,921.0,0.4729458917835671,0.45160308480262756,0.38031890988349915,0.37761589884757996,0.5632129277566541,0.6186521234774762,0.6329992911000838,499.0,0.5106215578284815,0.3912666440010071,0.3025897741317749,0.3860788941383362,0.6271223599007129,0.7226911052868871,0.665959006931267,1271.0,0.6666666666666666,0.2605888843536377,0.2237885594367981,0.17920371890068054,0.6055846853977048,0.6781545027983492,0.6387020182034033,798.0
Gemini-1.5-pro,0.8521617852161785,0.11383536458015442,0.09930255264043808,0.07351774722337723,0.5784362165333663,0.6230661149368496,0.5674891146589259,717.0,0.7728426395939086,0.1870812624692917,0.1584009975194931,0.18005695939064026,0.7243764390749556,0.7759721495995817,0.7268440799552338,788.0,0.758833922261484,0.19946996867656708,0.1803164780139923,0.19254536926746368,0.7025504569159983,0.7375451479060325,0.7002989249787852,1132.0,0.7726161369193154,0.20266494154930115,0.17127129435539246,0.15248683094978333,0.572750782632367,0.6518647066829999,0.6285218456512862,409.0,0.8066429418742586,0.1576867699623108,0.1450929045677185,0.12028548121452332,0.5893856008661134,0.6112324070732587,0.6202002887044389,843.0,0.5607476635514018,0.29625123739242554,0.26276567578315735,0.3708297610282898,0.7140815165046844,0.7219398476490675,0.6790736362840382,963.0,0.7628361858190709,0.18300724029541016,0.17250603437423706,0.15347343683242798,0.5758409331218608,0.6093460877610362,0.6034232090933122,818.0,0.6657894736842105,0.2625525891780853,0.2637368440628052,0.23114103078842163,0.5547602004294917,0.5614671189816687,0.6206156048675735,380.0,0.5492700729927007,0.3907663822174072,0.38660117983818054,0.3417151868343353,0.5451363202281194,0.5424933084051812,0.5689536901287208,1096.0,0.8530947054436987,0.13041754066944122,0.1026025116443634,0.099402517080307,0.7031322104291647,0.7902585992687515,0.7267979482446487,1341.0,0.7345612134344529,0.20772480964660645,0.1921018660068512,0.188225656747818,0.6738877852025768,0.6834808259587021,0.6212690385888868,923.0,0.6773547094188377,0.28046083450317383,0.2548796534538269,0.2372014820575714,0.5520507920173471,0.6186280274909038,0.5652908963945753,499.0,0.7731481481481481,0.19181326031684875,0.1679641455411911,0.17478926479816437,0.7061336510652165,0.7526834086928184,0.6982904938422476,1296.0,0.7982456140350878,0.1527944952249527,0.14180448651313782,0.116129569709301,0.5891991770430103,0.610796922686896,0.6232729116491316,798.0
Gemini-2.0-flash,0.8784916201117319,0.10188546031713486,0.09120112657546997,0.05473672226071358,0.7045483617491731,0.7062112822761911,0.6085375436288215,716.0,0.8335483870967741,0.12565162777900696,0.11393547803163528,0.08171940594911575,0.7497420020639834,0.7856217150262799,0.7829457364341085,775.0,0.8363970588235294,0.130303293466568,0.1281939446926117,0.09796378761529922,0.7455951352018769,0.7585350043215211,0.7191505124089393,1088.0,0.810126582278481,0.17316460609436035,0.16139240562915802,0.062316812574863434,0.6311875,0.6887291666666667,0.6519999999999999,395.0,0.8273809523809523,0.1493571400642395,0.1385713815689087,0.03745417296886444,0.6660530885636318,0.6949144132969487,0.6578714959067229,840.0,0.7187112763320942,0.1926269829273224,0.1854894459247589,0.19565071165561676,0.7461073978429288,0.7753645754215404,0.6806091447668237,807.0,0.7530562347188264,0.21045225858688354,0.18429097533226013,0.08667048811912537,0.6921812716985986,0.7074586922978012,0.6945078436415071,818.0,0.6535433070866141,0.28398948907852173,0.26181095838546753,0.1385353058576584,0.6535840331021053,0.6164810758184252,0.641535840331021,381.0,0.5724703737465816,0.3703280985355377,0.34753870964050293,0.23016241192817688,0.6089338340146402,0.6423614412016351,0.6178547662053698,1097.0,0.9060773480662984,0.0849960669875145,0.07641682028770447,0.03012824058532715,0.6540530846484935,0.704861212777794,0.7530158404825344,1267.0,0.7388465723612623,0.20941241085529327,0.17972442507743835,0.10740367323160172,0.6921545164457535,0.7289672312223859,0.7284732449680904,919.0,0.6977687626774848,0.2620689868927002,0.23123730719089508,0.13454985618591309,0.6346378960511939,0.6733162946776963,0.6450171687217106,493.0,0.8478260869565217,0.12232688814401627,0.11681957542896271,0.07325592637062073,0.7329499489993319,0.7294552726651492,0.6938251506152742,1242.0,0.793233082706767,0.17011268436908722,0.15062656998634338,0.045281413942575455,0.7035233855139069,0.7218679687874002,0.6817750969409738,798.0
Gemini-2.0-flash-lite,0.8481012658227848,0.11953578889369965,0.09648380428552628,0.027365898713469505,0.6658989005589336,0.7109514157607026,0.6215066642098152,711.0,0.7931034482758621,0.15364721417427063,0.13740044832229614,0.11393433064222336,0.7853528856873339,0.8239912957722324,0.8092787925563847,754.0,0.7681432610744581,0.1747502088546753,0.15694943070411682,0.14054685831069946,0.7255299516185345,0.7547383909421915,0.7306748466257669,1061.0,0.76010101010101,0.20568177103996277,0.17689388990402222,0.09844830632209778,0.6324707116628782,0.7036020283266303,0.6529463192865885,396.0,0.7711561382598331,0.19284862279891968,0.16243542730808258,0.09296619892120361,0.6313272797527048,0.6950347758887172,0.633106324059763,839.0,0.6386946386946387,0.16087409853935242,0.1485431045293808,0.21219800412654877,0.7609547916176124,0.7809542029668002,0.717141511655286,858.0,0.7079754601226994,0.22533738613128662,0.20260296761989594,0.12688897550106049,0.6915587725558161,0.7180504784236049,0.6903281243173178,815.0,0.5815789473684211,0.3094736933708191,0.2742983102798462,0.2074141949415207,0.6420501437149606,0.6152707817524689,0.6162099092176784,380.0,0.4649042844120328,0.4535095691680908,0.4206092357635498,0.3310224711894989,0.5746634599325249,0.6189631559608512,0.6013294585295789,1097.0,0.8649068322981367,0.10916933417320251,0.09159944206476212,0.05449657514691353,0.6754008543304649,0.7370302730143007,0.7955746094636703,1288.0,0.6807817589576547,0.24104227125644684,0.20260582864284515,0.16308586299419403,0.7044423830138116,0.7433627358439387,0.7290466425804771,921.0,0.5887096774193549,0.32752010226249695,0.28397175669670105,0.2323419749736786,0.6768315202793446,0.703297072253559,0.6832191780821918,496.0,0.7804473902236951,0.1572907567024231,0.140315443277359,0.1186680793762207,0.7265893522413172,0.7686756399471217,0.7518887954172175,1207.0,0.767879548306148,0.17616057395935059,0.1428481936454773,0.05656253173947334,0.7013645998940117,0.7107357357357357,0.6167814873697226,797.0
